AATS1d,AATS2i,ATSC3c,ATSC4c,ATSC5c,ATSC3dv,ATSC3s,ATSC2m,ATSC3m,ATSC2v,ATSC4v,ATSC2are,ATSC3are,ATSC4are,ATSC2p,ATSC3p,ATSC3i,AATSC0s,AATSC0v,AATSC2i,MATS1c,MATS2d,MATS2i,GATS1c,GATS2c,GATS2s,GATS1m,GATS2m,GATS1are,GATS2are,GATS1i,GATS2i,BCUTc-1h,BCUTc-1l,BCUTare-1l,RNCG,RPCG,Xpc-4dv,AETA_eta,AETA_eta_FL,CIC2,MIC5,ZMIC5,FilterItLogS,SlogP_VSA2,VSA_EState1,bpol,SLogP,Endpoint,Cell,Canonical SMILES,actual
3.842105263,148.2486818,-0.135215669,0.116830066,-0.116486058,-38.56260046,-24.56377195,207.5552811,-66.42835897,23.69459323,142.1305195,0.753730748,-1.554078393,0.547296953,0.495071034,0.34402944,-2.310478035,1.949007207,51.59343411,-0.063804367,-0.725882877,-0.224435028,-0.045947707,1.304405095,0.424085708,0.437074565,0.504653199,0.569523508,0.764787565,0.417909384,0.803657882,1.073137406,0.376596118,-0.305878528,2.188381178,0.375466995,0.224981174,0.964017987,0.575564155,0.226293279,0.671309869,42.59938066,23.72506166,-3.175442687,5.726618344,0,8.340449,2.0212,0,1,C1=CC(=C(C=C1CC(=O)N)Cl)Cl,2.628378073
3.842105263,148.2486818,-0.117120324,0.012252691,0.100701925,-40.76402996,-18.0057554,171.7889317,-824.7312263,23.69459323,-33.90481206,0.753730748,-1.761978393,0.364265374,0.495071034,-0.42770613,-1.233472075,1.949007207,51.59343411,-0.063804367,-0.738865549,-0.173446328,-0.045947707,1.800599925,0.518063428,0.437908031,0.504653199,0.569523508,0.764787565,0.417909384,0.813980156,1.073137406,0.377568278,-0.297930323,2.188182868,0.386489845,0.231643962,0.821926749,0.578667402,0.271950358,0.566046711,34.48014464,23.72506166,-3.175442687,5.15345033,0,8.340449,2.0212,0,1,C1=CC(=C(C=C1Cl)Cl)CC(=O)N,2.439256699
3.894736842,146.5163522,-0.092677236,-0.054397169,0.157966016,-42.62697354,-16.29215142,226.2545332,-2336.301193,75.5716356,-301.2698937,0.748365651,-1.501980609,0.070361773,1.185523519,1.47477112,5.694557162,1.985348293,59.81898667,0.037834851,-0.735618061,-0.122457627,0.026565855,1.527060721,0.543380922,0.44559979,0.488879108,0.605572586,0.778936368,0.408730873,0.70045773,0.930659117,0.377022497,-0.289514222,2.186639633,0.405573024,0.243113273,1.546797504,0.723716262,0.275145855,0.566046711,75.64249624,31.77376642,-3.634229688,5.947083921,1.797546296,10.080449,2.2394,0,1,C1=CC(=C(C(=C1)Br)CC(=O)N)Br,2.418733195
3.894736842,148.2486818,-0.108053448,-0.092976028,0.206454061,-42.13829896,-22.84472446,229.7549908,-375.5911288,23.69459323,-241.4906965,0.753730748,-1.572978393,-0.026666205,0.495071034,1.090353725,0.241458925,1.949007207,51.59343411,-0.063804367,-0.729669623,-0.122457627,-0.045947707,1.582877143,0.401885665,0.442475426,0.504653199,0.569523508,0.764787565,0.417909384,0.69790163,1.073137406,0.3797892,-0.270517538,2.187705486,0.385088564,0.230862953,0.972469524,0.589050878,0.204129992,0.566046711,34.11132547,23.72506166,-3.175442687,7.37819221,0,8.340449,2.0212,0,1,C1=CC(=C(C(=C1)Cl)CC(=O)N)Cl,2.291409155
3.578947368,146.8332193,-0.111322943,0.01800651,0.070361706,-38.07759105,-17.10241175,244.7502636,-1428.75498,-21.92421303,-370.0697068,0.686833241,-1.224432687,0.685090305,1.155561,1.47128135,4.783093487,1.99466185,66.2137098,0.019831551,-0.715049931,-0.181683168,0.011949612,1.652261068,0.488745102,0.452316463,0.478799901,0.596933872,0.795099575,0.427246241,0.687738332,0.903469606,0.374247017,-0.269910475,2.142093541,0.39179462,0.234806,1.15067513,0.608350958,0.316978629,0.736842105,72.02930279,28.1965643,-2.73931217,5.885829532,1.086944444,12.003656,1.319,0,1,C1=CC=C(C(=C1)CC(=O)N)I,2.213390527
3.526315789,147.8560599,-0.116436209,0.108133675,-0.093374979,-34.7725226,-20.78309197,183.3948872,-1351.64289,-63.78164774,280.022104,0.723654294,-1.492990582,0.735279778,0.205868942,-1.608203306,-2.59454223,1.991411887,56.52551509,-0.04007897,-0.721107267,-0.181683168,-0.027479079,1.754261697,0.360381158,0.447308737,0.482700322,0.587275614,0.780989106,0.415271444,0.662032531,1.02048258,0.373377171,-0.398570256,2.190706492,0.39118814,0.234401088,0.580204833,0.577715831,0.271646653,0.631578947,36.04330904,24.17221192,-2.645373645,4.520648499,0.96875,9.703656,1.4769,0,1,C1=CC(=CC(=C1)Br)CC(=O)N,2.196269829
3.526315789,148.7222247,-0.163114574,0.112817861,-0.118196767,-35.25864369,-24.75946168,104.6237003,-898.0761413,-93.13349366,238.9663002,0.72867036,-1.544113573,0.739019391,-0.214479298,-1.293841655,-2.924363219,1.973042038,51.98607322,-0.092957324,-0.722632806,-0.181683168,-0.064867859,1.513495171,0.540588338,0.444328079,0.57021674,0.622864768,0.771740894,0.4186968,0.959658057,1.09612695,0.373875541,-0.274696985,2.191211662,0.381546369,0.228623942,0.431159242,0.51703347,0.21747513,0.631578947,28.32134864,20.14785954,-2.396094517,6.831092032,0,8.833656,1.3678,0,1,C1=CC(=CC(=C1)Cl)CC(=O)N,2.091944126
3.578947368,147.8560599,-0.106604968,0.013611646,0.075102362,-38.0805148,-14.34677686,226.8985265,-735.9991193,-63.78164774,-249.6132376,0.723654294,-1.330990582,0.299585042,0.205868942,0.782646639,1.578208308,1.991411887,56.52551509,-0.04007897,-0.715480985,-0.181683168,-0.027479079,1.46576173,0.423560015,0.452056219,0.482700322,0.587275614,0.780989106,0.415271444,0.963136594,1.02048258,0.37441355,-0.278612161,2.19022864,0.389871496,0.233656273,0.938767531,0.588734567,0.286177879,0.736842105,36.19863672,24.17221192,-2.645373645,6.254656955,0.929444444,9.703656,1.4769,0,1,C1=CC=C(C(=C1)CC(=O)N)Br,2.078938109
3.578947368,148.7222247,-0.088675134,-0.008952743,0.09944276,-38.12998871,-18.19933919,79.68307643,-313.1643546,-93.13349366,-176.8437469,0.72867036,-1.355113573,0.221756233,-0.214479298,0.224218199,-1.449432218,1.973042038,51.98607322,-0.092957324,-0.715468902,-0.181683168,-0.064867859,1.430096777,0.533911493,0.450618191,0.57021674,0.622864768,0.771740894,0.4186968,1.014180229,1.09612695,0.375401609,-0.306245599,2.19080072,0.380288772,0.227927314,0.630986095,0.523844983,0.22970559,0.736842105,28.6316429,20.14785954,-2.396094517,7.284551667,0,8.833656,1.3678,0,1,C1=CC=C(C(=C1)CC(=O)N)Cl,2.009661145
3.833333333,150.7227667,0.189576728,-0.10975029,-0.016913737,-17.22938576,-1.299707195,32.87649781,367.1700777,-132.4899057,-243.2821181,-0.125488194,0.439488194,-0.654574306,-1.066742937,0.161225843,-1.455940091,1.838884007,53.65074916,-0.454078488,-0.543079471,-0.329411765,-0.297226526,1.359154834,0.829428381,0.746049248,0.474884298,0.634761047,0.982120859,0.777532957,1.092592397,1.304818096,0.396683298,-0.358872609,2.225357766,0.607786736,0.352850491,0.544652778,0.43248222,0.29113636,0.166666667,51.98106002,25.09473751,-1.843813248,10.09050592,0.486111111,6.532828,1.5497,0,1,C1=C(C(=C(N=C1Br)Br)O)Br,2.923177577
